,osing,indonesia
6177,wong-wong ngundang lading teko pawon,mereka memanggil pisau dari dapur
6178,lare nggowo gedhang nong kali,anak membawa pisang di sungai
6179,wong-wong ngambung sego nong puthuk,mereka mencium nasi di bukit
6180,isun nyampat lading nyang pawon,aku memukul pisau ke dapur
6181,lare nggowo lading nyang kali,anak membawa pisau ke sungai
6182,riko njuwut buku teko puthuk,kamu mengambil buku dari bukit
6183,bapak ndeleng byanyu nong puthuk,bapak melihat air di bukit
6184,isun nggowo jangan teko kali,saya membawa sayur dari sungai
6185,embyah nggowo lading nyang pasar,nenek membawa pisau ke pasar
6186,wong-wong ndeleng sego nong umah,mereka melihat nasi di rumah
6187,embyah njuwut kembang nong kali,nenek mengambil bunga di sungai
6188,riko nyampat gedhang teko pasar,kamu memukul pisang dari pasar
6189,wong-wong njuwut byanyu teko umah,mereka mengambil air dari rumah
6190,lare njuwut kembang nyang puthuk,anak mengambil bunga ke bukit
6191,riko ngolah jangan nong puthuk,kamu memasak sayur di bukit
6192,bapak nyapu lading teko umah,bapak menyapu pisau dari rumah
6193,bapak ndeleng kembang teko pasar,bapak melihat bunga dari pasar
6194,yane nggowo kunci nong umah,dia membawa kunci di rumah
6195,riko nyapu buku teko kali,kamu menyapu buku dari sungai
6196,embyah nyapu lare,nenek menyapu anak
6197,isun nyapu byanyu nong puthuk,aku menyapu air di bukit
6198,embyah ndeleng byanyu teko pasar,nenek melihat air dari pasar
6199,isun ndeleng byanyu teko puthuk,aku melihat air dari bukit
6200,lare njuwut kunci,anak mengambil kunci
6201,embyah nggowo kembang,nenek membawa bunga
6202,isun ngambung kembang teko puthuk,aku mencium bunga dari bukit
6203,isun ngambung sego nyang puthuk,saya mencium nasi ke bukit
6204,isun nyampat buku teko pawon,aku memukul buku dari dapur
6205,embyah ngambung kunci nong kali,nenek mencium kunci di sungai
6206,yane nyimpen sego nong puthuk,dia menyimpan nasi di bukit
6207,bapak ngundang buku nyang umah,bapak memanggil buku ke rumah
6208,riko nyapu byanyu teko puthuk,kamu menyapu air dari bukit
6209,mak nyimpen jangan teko pasar,ibu menyimpan sayur dari pasar
6210,isun ngolah lading teko kali,aku memasak pisau dari sungai
6211,bapak ngambung byanyu teko umah,bapak mencium air dari rumah
6212,riko ngundang kunci,kamu memanggil kunci
6213,mak nyampat gedhang nong puthuk,ibu memukul pisang di bukit
6214,isun ngolah lare teko umah,aku memasak anak dari rumah
6215,isun ndeleng buku nyang pasar,aku melihat buku ke pasar
6216,bapak nyampat lading nong umah,bapak memukul pisau di rumah
6217,bapak nggowo kembang nyang puthuk,bapak membawa bunga ke bukit
6218,riko njuwut lading teko kali,kamu mengambil pisau dari sungai
6219,isun nyimpen gedhang teko kali,aku menyimpan pisang dari sungai
6220,bapak njuwut jangan nong umah,bapak mengambil sayur di rumah
6221,bapak ngundang buku teko pawon,bapak memanggil buku dari dapur
6222,riko ngundang lare nong kali,kamu memanggil anak di sungai
6223,embyah ndeleng kembang nong pasar,nenek melihat bunga di pasar
6224,mak ndeleng kunci teko kali,ibu melihat kunci dari sungai
6225,riko ngambung kembang teko umah,kamu mencium bunga dari rumah
6226,mak nggowo gedhang teko pasar,ibu membawa pisang dari pasar
6227,mak ndeleng gedhang teko kali,ibu melihat pisang dari sungai
6228,bapak njuwut lading teko pasar,bapak mengambil pisau dari pasar
6229,wong-wong nyimpen gedhang teko pasar,mereka menyimpan pisang dari pasar
6230,mak ndeleng kunci nyang umah,ibu melihat kunci ke rumah
6231,isun nyapu gedhang nyang pasar,aku menyapu pisang ke pasar
6232,riko nyapu byanyu nong kali,kamu menyapu air di sungai
6233,mak ngambung kembang nyang pasar,ibu mencium bunga ke pasar
6234,yane nyapu sego,dia menyapu nasi
6235,yane nyampat lading teko kali,dia memukul pisau dari sungai
6236,lare nyimpen buku teko pasar,anak menyimpan buku dari pasar
6237,bapak nyampat buku nyang pawon,bapak memukul buku ke dapur
6238,mak nyampat byanyu nong pawon,ibu memukul air di dapur
6239,wong-wong nyampat kunci nyang kali,mereka memukul kunci ke sungai
6240,embyah nyimpen lare teko puthuk,nenek menyimpan anak dari bukit
6241,isun ngundang lading nong puthuk,saya memanggil pisau di bukit
6242,bapak ngolah sego nong pawon,bapak memasak nasi di dapur
6243,riko nyapu kembang nong umah,kamu menyapu bunga di rumah
6244,wong-wong ngambung byanyu teko umah,mereka mencium air dari rumah
6245,wong-wong njuwut byanyu nyang umah,mereka mengambil air ke rumah
6246,mak ngambung byanyu nong umah,ibu mencium air di rumah
6247,isun ngambung gedhang nong umah,aku mencium pisang di rumah
6248,isun nyimpen sego nong puthuk,saya menyimpan nasi di bukit
6249,mak ndeleng lare nong pasar,ibu melihat anak di pasar
6250,embyah nggowo jangan nong pasar,nenek membawa sayur di pasar
6251,mak ndeleng buku nyang pasar,ibu melihat buku ke pasar
6252,mak nyampat sego nyang pawon,ibu memukul nasi ke dapur
6253,isun ngolah kunci teko puthuk,saya memasak kunci dari bukit
6254,lare nyimpen sego teko pasar,anak menyimpan nasi dari pasar
6255,wong-wong njuwut buku nyang umah,mereka mengambil buku ke rumah
6256,bapak ndeleng jangan nyang kali,bapak melihat sayur ke sungai
6257,yane ngambung gedhang nong puthuk,dia mencium pisang di bukit
6258,bapak nyampat jangan nong pasar,bapak memukul sayur di pasar
6259,mak njuwut lare teko pasar,ibu mengambil anak dari pasar
6260,embyah ngundang kembang teko pasar,nenek memanggil bunga dari pasar
6261,isun nggowo sego nong umah,aku membawa nasi di rumah
6262,isun njuwut buku teko kali,saya mengambil buku dari sungai
6263,lare nyimpen byanyu nong puthuk,anak menyimpan air di bukit
6264,wong-wong ngambung kembang nyang kali,mereka mencium bunga ke sungai
6265,embyah ndeleng jangan teko pasar,nenek melihat sayur dari pasar
6266,embyah nggowo buku nong umah,nenek membawa buku di rumah
6267,bapak ngambung lare teko pawon,bapak mencium anak dari dapur
6268,mak njuwut lare teko kali,ibu mengambil anak dari sungai
6269,isun nyapu buku nong pasar,aku menyapu buku di pasar
6270,lare nyapu lare nyang puthuk,anak menyapu anak ke bukit
6271,yane ndeleng kembang teko puthuk,dia melihat bunga dari bukit
6272,embyah ngundang kembang nong umah,nenek memanggil bunga di rumah
6273,riko nyampat gedhang nong puthuk,kamu memukul pisang di bukit
6274,mak ngundang kembang nong pasar,ibu memanggil bunga di pasar
6275,bapak ngambung buku teko pasar,bapak mencium buku dari pasar
6276,riko nggowo lading nong pawon,kamu membawa pisau di dapur
6277,wong-wong ndeleng buku nyang pasar,mereka melihat buku ke pasar
6278,bapak njuwut buku nong pawon,bapak mengambil buku di dapur
6279,lare ngambung byanyu teko pasar,anak mencium air dari pasar
6280,riko ndeleng kunci nong puthuk,kamu melihat kunci di bukit
6281,yane ngundang jangan teko pawon,dia memanggil sayur dari dapur
6282,embyah ngambung kunci nyang pawon,nenek mencium kunci ke dapur
6283,bapak ngolah kunci,bapak memasak kunci
6284,yane nyapu jangan nong puthuk,dia menyapu sayur di bukit
6285,isun nggowo jangan teko pawon,aku membawa sayur dari dapur
6286,wong-wong njuwut kembang nong kali,mereka mengambil bunga di sungai
6287,bapak ndeleng byanyu nyang pawon,bapak melihat air ke dapur
6288,wong-wong nyapu jangan nyang pawon,mereka menyapu sayur ke dapur
6289,yane njuwut lading nong umah,dia mengambil pisau di rumah
6290,isun nyapu kunci teko kali,saya menyapu kunci dari sungai
6291,bapak nyimpen byanyu nong puthuk,bapak menyimpan air di bukit
6292,isun nyimpen lading teko pasar,aku menyimpan pisau dari pasar
6293,isun njuwut jangan teko kali,saya mengambil sayur dari sungai
6294,wong-wong nggowo kembang nyang pasar,mereka membawa bunga ke pasar
6295,wong-wong nyampat buku nyang pawon,mereka memukul buku ke dapur
6296,embyah nggowo kembang teko pasar,nenek membawa bunga dari pasar
6297,isun ngambung jangan teko umah,aku mencium sayur dari rumah
6298,embyah ngambung byanyu nyang pawon,nenek mencium air ke dapur
6299,embyah nggowo lare nyang pawon,nenek membawa anak ke dapur
6300,riko ndeleng sego teko kali,kamu melihat nasi dari sungai
6301,isun ndeleng kunci teko puthuk,aku melihat kunci dari bukit
6302,isun nyampat byanyu nong pawon,aku memukul air di dapur
6303,embyah ndeleng kunci nyang pasar,nenek melihat kunci ke pasar
6304,bapak ndeleng lare nong pasar,bapak melihat anak di pasar
6305,embyah nyapu kembang teko umah,nenek menyapu bunga dari rumah
6306,wong-wong ngolah lare nong puthuk,mereka memasak anak di bukit
6307,lare nggowo kembang nyang pawon,anak membawa bunga ke dapur
6308,isun nyampat buku nyang pasar,saya memukul buku ke pasar
6309,isun nyampat kunci nong umah,aku memukul kunci di rumah
6310,isun ngundang lading teko umah,aku memanggil pisau dari rumah
6311,isun ngolah sego nyang puthuk,saya memasak nasi ke bukit
6312,lare ngundang jangan nong umah,anak memanggil sayur di rumah
6313,mak ngolah byanyu teko pasar,ibu memasak air dari pasar
6314,bapak nyampat buku nyang kali,bapak memukul buku ke sungai
6315,lare nyapu gedhang nyang puthuk,anak menyapu pisang ke bukit
6316,isun nggowo buku teko pasar,aku membawa buku dari pasar
6317,bapak ngundang jangan nong pawon,bapak memanggil sayur di dapur
6318,bapak nggowo lare nyang pasar,bapak membawa anak ke pasar
6319,embyah njuwut gedhang,nenek mengambil pisang
6320,embyah nyampat byanyu,nenek memukul air
6321,riko ndeleng kunci teko kali,kamu melihat kunci dari sungai
6322,wong-wong ngundang buku nong pawon,mereka memanggil buku di dapur
6323,mak ngambung lare nyang pasar,ibu mencium anak ke pasar
6324,isun ngambung sego teko kali,saya mencium nasi dari sungai
6325,isun ngolah byanyu teko puthuk,aku memasak air dari bukit
6326,yane ngolah lare teko puthuk,dia memasak anak dari bukit
6327,isun ngambung lading,aku mencium pisau
6328,mak ngolah byanyu nyang umah,ibu memasak air ke rumah
6329,yane ngundang sego nong umah,dia memanggil nasi di rumah
6330,yane nyampat lading nong umah,dia memukul pisau di rumah
6331,riko njuwut kembang teko pasar,kamu mengambil bunga dari pasar
6332,bapak nggowo lading nong pasar,bapak membawa pisau di pasar
6333,mak nyapu byanyu teko umah,ibu menyapu air dari rumah
6334,lare nyampat jangan,anak memukul sayur
6335,isun ngambung buku teko pasar,saya mencium buku dari pasar
6336,isun ndeleng kembang nyang umah,saya melihat bunga ke rumah
6337,isun nggowo buku teko pasar,saya membawa buku dari pasar
6338,yane ngundang buku teko pawon,dia memanggil buku dari dapur
6339,embyah nyampat kembang teko pawon,nenek memukul bunga dari dapur
6340,bapak nyampat lare teko umah,bapak memukul anak dari rumah
6341,embyah njuwut lare teko umah,nenek mengambil anak dari rumah
6342,isun ngundang lare teko puthuk,aku memanggil anak dari bukit
6343,yane nyapu kembang nong umah,dia menyapu bunga di rumah
6344,mak ndeleng kunci nong kali,ibu melihat kunci di sungai
6345,isun ngundang byanyu nyang umah,saya memanggil air ke rumah
6346,wong-wong njuwut lare nong umah,mereka mengambil anak di rumah
6347,embyah ndeleng buku nong puthuk,nenek melihat buku di bukit
6348,riko ngolah kunci teko umah,kamu memasak kunci dari rumah
6349,embyah ngambung buku nyang pasar,nenek mencium buku ke pasar
6350,lare nggowo lare nyang pasar,anak membawa anak ke pasar
6351,embyah nggowo lare teko pawon,nenek membawa anak dari dapur
6352,embyah nyapu lading teko umah,nenek menyapu pisau dari rumah
6353,isun ndeleng sego teko umah,saya melihat nasi dari rumah
6354,isun ngambung kunci,saya mencium kunci
6355,lare nggowo lading nong umah,anak membawa pisau di rumah
6356,yane ngundang kunci nong puthuk,dia memanggil kunci di bukit
6357,bapak nggowo buku,bapak membawa buku
6358,mak ngambung byanyu nong pasar,ibu mencium air di pasar
6359,bapak nggowo lare nyang pawon,bapak membawa anak ke dapur
6360,wong-wong nggowo sego teko puthuk,mereka membawa nasi dari bukit
6361,lare ndeleng jangan,anak melihat sayur
6362,isun ngolah buku nyang puthuk,saya memasak buku ke bukit
6363,riko nyimpen kembang teko puthuk,kamu menyimpan bunga dari bukit
6364,embyah nyimpen sego nyang umah,nenek menyimpan nasi ke rumah
6365,isun ngambung buku nong kali,saya mencium buku di sungai
6366,lare ngambung kembang nong pasar,anak mencium bunga di pasar
6367,embyah ngundang lading teko umah,nenek memanggil pisau dari rumah
6368,isun nyampat lading,saya memukul pisau
6369,yane nyapu kunci teko pawon,dia menyapu kunci dari dapur
6370,riko ngambung sego nyang umah,kamu mencium nasi ke rumah
6371,riko nyapu kembang nong pawon,kamu menyapu bunga di dapur
6372,riko nggowo byanyu nyang kali,kamu membawa air ke sungai
6373,mak nyimpen buku nong umah,ibu menyimpan buku di rumah
6374,mak nggowo buku teko pasar,ibu membawa buku dari pasar
6375,embyah ngundang kunci nong kali,nenek memanggil kunci di sungai
6376,yane ngundang kembang nong umah,dia memanggil bunga di rumah
6377,isun ngolah jangan nong pasar,aku memasak sayur di pasar
6378,isun ndeleng jangan nyang puthuk,aku melihat sayur ke bukit
6379,yane ngolah buku nong pasar,dia memasak buku di pasar
6380,embyah nyimpen byanyu teko kali,nenek menyimpan air dari sungai
6381,riko ndeleng gedhang nyang umah,kamu melihat pisang ke rumah
6382,wong-wong nggowo kembang nong kali,mereka membawa bunga di sungai
6383,isun nggowo sego teko puthuk,aku membawa nasi dari bukit
6384,mak nyampat kembang nyang pasar,ibu memukul bunga ke pasar
6385,isun ngambung byanyu nong kali,aku mencium air di sungai
6386,bapak ngundang jangan teko pasar,bapak memanggil sayur dari pasar
6387,bapak ngolah gedhang,bapak memasak pisang
6388,embyah ndeleng kunci teko pasar,nenek melihat kunci dari pasar
6389,embyah nyimpen kembang teko umah,nenek menyimpan bunga dari rumah
6390,riko nggowo kembang nong kali,kamu membawa bunga di sungai
6391,wong-wong ngambung kunci,mereka mencium kunci
6392,lare njuwut gedhang,anak mengambil pisang
6393,wong-wong njuwut lading nong pasar,mereka mengambil pisau di pasar
6394,riko ngolah lare nong pawon,kamu memasak anak di dapur
6395,isun nyampat lading teko puthuk,aku memukul pisau dari bukit
6396,bapak nyampat byanyu nong pawon,bapak memukul air di dapur
6397,riko ndeleng kunci teko pawon,kamu melihat kunci dari dapur
6398,mak ngundang byanyu teko pawon,ibu memanggil air dari dapur
6399,lare ndeleng buku nong umah,anak melihat buku di rumah
6400,riko ngundang kunci teko umah,kamu memanggil kunci dari rumah
6401,isun nyimpen jangan teko pasar,saya menyimpan sayur dari pasar
6402,isun nyapu gedhang nyang kali,aku menyapu pisang ke sungai
6403,embyah nggowo byanyu nyang pasar,nenek membawa air ke pasar
6404,wong-wong ngolah lading nyang puthuk,mereka memasak pisau ke bukit
6405,wong-wong nyimpen byanyu nyang pasar,mereka menyimpan air ke pasar
6406,isun ngolah kembang teko kali,aku memasak bunga dari sungai
6407,embyah nyapu jangan nyang pawon,nenek menyapu sayur ke dapur
6408,wong-wong nyimpen lading teko umah,mereka menyimpan pisau dari rumah
6409,riko nyampat kunci teko umah,kamu memukul kunci dari rumah
6410,yane ngolah byanyu nong puthuk,dia memasak air di bukit
6411,embyah nyimpen kunci nyang umah,nenek menyimpan kunci ke rumah
6412,isun ngolah gedhang nong puthuk,saya memasak pisang di bukit
6413,isun ndeleng kembang nong pasar,aku melihat bunga di pasar
6414,mak nyapu kembang nong pasar,ibu menyapu bunga di pasar
6415,isun ngambung lare teko puthuk,aku mencium anak dari bukit
6416,bapak ngambung kunci nong pawon,bapak mencium kunci di dapur
6417,embyah ngambung jangan nyang pasar,nenek mencium sayur ke pasar
6418,isun ngambung lare nyang kali,aku mencium anak ke sungai
6419,yane ndeleng lare nong pawon,dia melihat anak di dapur
6420,bapak nggowo gedhang teko pasar,bapak membawa pisang dari pasar
6421,bapak ngambung byanyu nong pasar,bapak mencium air di pasar
6422,lare nggowo sego nong puthuk,anak membawa nasi di bukit
6423,mak ngolah lading teko kali,ibu memasak pisau dari sungai
6424,riko nggowo sego teko kali,kamu membawa nasi dari sungai
6425,yane nyapu lading nong kali,dia menyapu pisau di sungai
6426,lare nyampat kembang nyang pasar,anak memukul bunga ke pasar
6427,mak nyampat sego,ibu memukul nasi
6428,wong-wong nyampat jangan nong pasar,mereka memukul sayur di pasar
6429,mak ngolah gedhang nyang pawon,ibu memasak pisang ke dapur
6430,wong-wong nyapu kunci nong umah,mereka menyapu kunci di rumah
6431,riko ngolah jangan nong kali,kamu memasak sayur di sungai
6432,isun nggowo kunci nyang pawon,saya membawa kunci ke dapur
6433,embyah ngolah gedhang nong umah,nenek memasak pisang di rumah
6434,riko ngundang lading nyang puthuk,kamu memanggil pisau ke bukit
6435,wong-wong ngolah jangan,mereka memasak sayur
6436,yane nyimpen kunci nyang pawon,dia menyimpan kunci ke dapur
6437,riko ndeleng buku nyang pasar,kamu melihat buku ke pasar
6438,lare nyimpen lading nyang puthuk,anak menyimpan pisau ke bukit
6439,riko ndeleng kembang nyang kali,kamu melihat bunga ke sungai
6440,bapak nyimpen sego nyang kali,bapak menyimpan nasi ke sungai
6441,embyah nyapu byanyu nong umah,nenek menyapu air di rumah
6442,wong-wong ndeleng byanyu nyang puthuk,mereka melihat air ke bukit
6443,riko njuwut buku nyang pasar,kamu mengambil buku ke pasar
6444,embyah ngolah kembang nyang pasar,nenek memasak bunga ke pasar
6445,lare ndeleng lare teko puthuk,anak melihat anak dari bukit
6446,riko nyimpen kunci nong pasar,kamu menyimpan kunci di pasar
6447,lare nyapu kembang nyang kali,anak menyapu bunga ke sungai
6448,mak nyampat buku,ibu memukul buku
6449,lare ngolah gedhang,anak memasak pisang
6450,isun nyimpen lare teko umah,saya menyimpan anak dari rumah
6451,isun njuwut sego nong umah,saya mengambil nasi di rumah
6452,isun ndeleng kunci nyang umah,saya melihat kunci ke rumah
6453,isun ngolah lare nong puthuk,aku memasak anak di bukit
6454,bapak nyimpen kembang nyang pawon,bapak menyimpan bunga ke dapur
6455,riko ngolah byanyu nong umah,kamu memasak air di rumah
6456,mak nyimpen lare teko kali,ibu menyimpan anak dari sungai
6457,mak nyapu lading nong puthuk,ibu menyapu pisau di bukit
6458,isun njuwut gedhang nyang puthuk,aku mengambil pisang ke bukit
6459,embyah nyampat lare,nenek memukul anak
6460,bapak nggowo kunci teko pawon,bapak membawa kunci dari dapur
6461,isun ngolah lading teko puthuk,aku memasak pisau dari bukit
6462,riko ngolah jangan teko kali,kamu memasak sayur dari sungai
6463,bapak njuwut sego nong pasar,bapak mengambil nasi di pasar
6464,embyah nyampat sego,nenek memukul nasi
6465,isun ngambung kunci teko pawon,aku mencium kunci dari dapur
6466,yane njuwut sego nong kali,dia mengambil nasi di sungai
6467,riko ngambung gedhang teko kali,kamu mencium pisang dari sungai
6468,mak nyampat lading nyang puthuk,ibu memukul pisau ke bukit
6469,wong-wong ngolah buku nyang kali,mereka memasak buku ke sungai
6470,yane nyampat buku teko umah,dia memukul buku dari rumah
6471,embyah ngambung kunci nyang puthuk,nenek mencium kunci ke bukit
6472,isun nyimpen kembang nyang pawon,saya menyimpan bunga ke dapur
6473,mak nyimpen sego teko puthuk,ibu menyimpan nasi dari bukit
6474,mak njuwut buku teko kali,ibu mengambil buku dari sungai
6475,lare nyapu gedhang nong puthuk,anak menyapu pisang di bukit
6476,embyah ngolah byanyu nong pasar,nenek memasak air di pasar
6477,mak njuwut kembang,ibu mengambil bunga
6478,embyah ngambung kembang teko pawon,nenek mencium bunga dari dapur
6479,riko ndeleng lare nyang umah,kamu melihat anak ke rumah
6480,embyah nyampat kembang,nenek memukul bunga
6481,yane ngambung buku,dia mencium buku
6482,wong-wong nyampat lare nong kali,mereka memukul anak di sungai
6483,isun ngundang sego nyang umah,saya memanggil nasi ke rumah
6484,isun nyapu byanyu teko kali,saya menyapu air dari sungai
6485,isun nyapu lading,aku menyapu pisau
6486,bapak ngolah kunci teko umah,bapak memasak kunci dari rumah
6487,yane njuwut kunci teko pasar,dia mengambil kunci dari pasar
6488,lare nyampat lading,anak memukul pisau
6489,wong-wong ndeleng lare teko pawon,mereka melihat anak dari dapur
6490,isun nyimpen lading nong umah,saya menyimpan pisau di rumah
6491,bapak nyapu lading nyang umah,bapak menyapu pisau ke rumah
6492,isun njuwut kunci nong umah,saya mengambil kunci di rumah
6493,isun nyampat lare nong puthuk,saya memukul anak di bukit
6494,lare ndeleng jangan nyang puthuk,anak melihat sayur ke bukit
6495,lare ndeleng kembang nong pasar,anak melihat bunga di pasar
6496,lare njuwut kembang teko umah,anak mengambil bunga dari rumah
6497,lare ngambung buku nyang umah,anak mencium buku ke rumah
6498,embyah ngolah sego teko pasar,nenek memasak nasi dari pasar
6499,embyah ngundang gedhang teko kali,nenek memanggil pisang dari sungai
6500,bapak njuwut jangan nyang pawon,bapak mengambil sayur ke dapur
6501,embyah nyapu gedhang teko puthuk,nenek menyapu pisang dari bukit
6502,isun ngolah buku nyang kali,aku memasak buku ke sungai
6503,bapak njuwut gedhang nyang pawon,bapak mengambil pisang ke dapur
6504,wong-wong nyapu sego teko pasar,mereka menyapu nasi dari pasar
6505,lare nggowo byanyu nyang umah,anak membawa air ke rumah
6506,mak nyapu byanyu nong pasar,ibu menyapu air di pasar
6507,lare ngundang sego teko pasar,anak memanggil nasi dari pasar
6508,mak ngundang byanyu,ibu memanggil air
6509,riko ngundang buku nong umah,kamu memanggil buku di rumah
6510,isun ngolah jangan nong puthuk,aku memasak sayur di bukit
6511,isun njuwut lare nong pawon,aku mengambil anak di dapur
6512,mak ngolah buku nong pawon,ibu memasak buku di dapur
6513,bapak ngolah kunci nyang pawon,bapak memasak kunci ke dapur
6514,isun nggowo gedhang,saya membawa pisang
6515,yane nyimpen lare teko puthuk,dia menyimpan anak dari bukit
6516,isun ngundang gedhang nong puthuk,saya memanggil pisang di bukit
6517,isun nyapu gedhang nyang pasar,saya menyapu pisang ke pasar
6518,lare ndeleng buku nong pasar,anak melihat buku di pasar
6519,yane nyampat sego nong puthuk,dia memukul nasi di bukit
6520,wong-wong nyampat jangan nong pawon,mereka memukul sayur di dapur
6521,yane ngundang byanyu nyang puthuk,dia memanggil air ke bukit
6522,embyah ndeleng kunci nong pasar,nenek melihat kunci di pasar
6523,lare nggowo byanyu nong pawon,anak membawa air di dapur
6524,isun ngolah buku,aku memasak buku
6525,isun ngolah sego nyang puthuk,aku memasak nasi ke bukit
6526,yane ngambung buku nong umah,dia mencium buku di rumah
6527,wong-wong ngolah jangan teko puthuk,mereka memasak sayur dari bukit
6528,isun ngolah kembang nyang pawon,aku memasak bunga ke dapur
6529,mak nggowo lading teko puthuk,ibu membawa pisau dari bukit
6530,bapak ngundang gedhang teko pasar,bapak memanggil pisang dari pasar
6531,lare ngambung jangan teko puthuk,anak mencium sayur dari bukit
6532,embyah nggowo byanyu teko kali,nenek membawa air dari sungai
6533,bapak njuwut buku nong puthuk,bapak mengambil buku di bukit
6534,yane ngundang lading nong pawon,dia memanggil pisau di dapur
6535,isun nggowo kembang teko puthuk,saya membawa bunga dari bukit
6536,mak nyimpen gedhang nyang puthuk,ibu menyimpan pisang ke bukit
6537,riko ngundang sego nong pawon,kamu memanggil nasi di dapur
6538,isun ndeleng jangan nyang umah,aku melihat sayur ke rumah
6539,isun ngolah byanyu,saya memasak air
6540,lare njuwut buku nong pawon,anak mengambil buku di dapur
6541,embyah njuwut lading nong puthuk,nenek mengambil pisau di bukit
6542,wong-wong ngolah lading nong pawon,mereka memasak pisau di dapur
6543,yane ngolah gedhang nyang pasar,dia memasak pisang ke pasar
6544,bapak ngambung lading teko pawon,bapak mencium pisau dari dapur
6545,lare nyampat lare nyang kali,anak memukul anak ke sungai
6546,embyah njuwut lare nong pawon,nenek mengambil anak di dapur
6547,riko ngundang kunci nyang kali,kamu memanggil kunci ke sungai
6548,yane nggowo kembang nong puthuk,dia membawa bunga di bukit
6549,mak nggowo gedhang,ibu membawa pisang
6550,yane ngolah jangan nyang puthuk,dia memasak sayur ke bukit
6551,lare ndeleng kunci nong pawon,anak melihat kunci di dapur
6552,isun nyampat kunci nong pasar,aku memukul kunci di pasar
6553,yane njuwut kembang teko puthuk,dia mengambil bunga dari bukit
6554,bapak ngolah jangan nong umah,bapak memasak sayur di rumah
6555,mak ngambung kembang nyang umah,ibu mencium bunga ke rumah
6556,embyah njuwut gedhang teko pawon,nenek mengambil pisang dari dapur
6557,isun ngundang byanyu teko pawon,aku memanggil air dari dapur
6558,wong-wong ngundang jangan nong pasar,mereka memanggil sayur di pasar
6559,isun nyampat gedhang teko umah,aku memukul pisang dari rumah
6560,isun nggowo lare teko puthuk,saya membawa anak dari bukit
6561,isun ngundang gedhang nyang pawon,aku memanggil pisang ke dapur
6562,lare ngambung kunci nong umah,anak mencium kunci di rumah
6563,yane nyapu kunci nyang puthuk,dia menyapu kunci ke bukit
6564,lare nggowo kunci teko puthuk,anak membawa kunci dari bukit
6565,embyah ngambung lare teko umah,nenek mencium anak dari rumah
6566,yane ndeleng kembang nyang kali,dia melihat bunga ke sungai
6567,embyah njuwut buku nyang pawon,nenek mengambil buku ke dapur
6568,bapak njuwut kembang nyang puthuk,bapak mengambil bunga ke bukit
6569,yane ngambung jangan nyang kali,dia mencium sayur ke sungai
6570,bapak nyapu sego teko pawon,bapak menyapu nasi dari dapur
6571,bapak njuwut gedhang teko puthuk,bapak mengambil pisang dari bukit
6572,wong-wong ndeleng lading nyang puthuk,mereka melihat pisau ke bukit
6573,bapak ngundang byanyu nyang pawon,bapak memanggil air ke dapur
6574,isun nyimpen jangan nyang puthuk,saya menyimpan sayur ke bukit
6575,bapak njuwut sego nyang umah,bapak mengambil nasi ke rumah
6576,mak ndeleng gedhang nong pawon,ibu melihat pisang di dapur
6577,yane nyampat kembang nong umah,dia memukul bunga di rumah
6578,yane ngambung gedhang,dia mencium pisang
6579,lare njuwut kunci nong puthuk,anak mengambil kunci di bukit
6580,mak njuwut kembang teko pawon,ibu mengambil bunga dari dapur
6581,yane ngolah byanyu teko pawon,dia memasak air dari dapur
6582,mak ngambung lading teko kali,ibu mencium pisau dari sungai
6583,isun njuwut lare nong puthuk,saya mengambil anak di bukit
6584,isun ndeleng lare teko pasar,aku melihat anak dari pasar
6585,riko nyimpen buku nyang kali,kamu menyimpan buku ke sungai
6586,isun ndeleng gedhang nong pasar,aku melihat pisang di pasar
6587,embyah nggowo kunci teko umah,nenek membawa kunci dari rumah
6588,riko ngundang byanyu nong umah,kamu memanggil air di rumah
6589,lare nyampat jangan nong umah,anak memukul sayur di rumah
6590,embyah ngambung lading nyang kali,nenek mencium pisau ke sungai
6591,lare ndeleng byanyu nong puthuk,anak melihat air di bukit
6592,bapak njuwut kunci nong umah,bapak mengambil kunci di rumah
6593,lare nyimpen byanyu nyang umah,anak menyimpan air ke rumah
6594,lare ngambung sego nong pawon,anak mencium nasi di dapur
6595,isun ngambung kunci teko umah,saya mencium kunci dari rumah
6596,riko ngambung jangan teko pawon,kamu mencium sayur dari dapur
6597,isun ngambung lare teko pawon,saya mencium anak dari dapur
6598,isun nyampat lading teko pawon,aku memukul pisau dari dapur
6599,mak ngundang lading nyang umah,ibu memanggil pisau ke rumah
6600,bapak ndeleng gedhang nong kali,bapak melihat pisang di sungai
6601,isun njuwut kembang teko kali,saya mengambil bunga dari sungai
6602,wong-wong ngundang lare teko puthuk,mereka memanggil anak dari bukit
6603,mak nggowo byanyu nyang umah,ibu membawa air ke rumah
6604,yane njuwut jangan,dia mengambil sayur
6605,wong-wong nyimpen gedhang,mereka menyimpan pisang
6606,lare ngambung lading teko umah,anak mencium pisau dari rumah
6607,bapak nggowo lading teko puthuk,bapak membawa pisau dari bukit
6608,embyah ngolah lare teko puthuk,nenek memasak anak dari bukit
6609,riko ngolah jangan,kamu memasak sayur
6610,isun nggowo buku nyang kali,saya membawa buku ke sungai
6611,riko ndeleng lading nong puthuk,kamu melihat pisau di bukit
6612,yane ngundang jangan teko pasar,dia memanggil sayur dari pasar
